CID,CommunityName,TotalPremium,Vzone,AZone,NoPolicies,TotalCoverage,TotalClaims1978,TotalPaid1978
450227,ABBEVILLE COUNTY *,"$15,273 ",0,17,31,"$6,092,400 ",1,"$3,500 "
450001,"ABBEVILLE, CITY OF","$1,882 ",0,0,4,"$1,150,000 ",0,$0 
450248,"WARE SHOALS, TOWN OF",$302 ,0,1,1,"$25,000 ",0,$0 
450002,AIKEN COUNTY*,"$71,873 ",0,49,164,"$40,534,200 ",9,"$28,221 "
450003,"AIKEN, CITY OF","$22,606 ",0,9,58,"$15,026,700 ",1,"$1,457 "
450004,"BURNETTOWN, TOWN OF",$525 ,0,1,1,"$350,000 ",0,$0 
450006,"NEW ELLENTON, CITY OF",$784 ,0,1,2,"$387,500 ",0,$0 
450007,"NORTH AUGUSTA, CITY OF","$129,253 ",0,207,262,"$69,877,600 ",8,"$58,830 "
450201,ALLENDALE COUNTY*,"$24,468 ",0,2,3,"$1,866,000 ",2,$0 
450010,"FAIRFAX, TOWN OF",$317 ,0,0,2,"$28,700 ",0,$0 
450011,"SYCAMORE, TOWN OF",$405 ,0,0,1,"$32,400 ",0,$0 
450013,ANDERSON COUNTY *,"$52,884 ",0,25,107,"$28,997,800 ",10,"$77,040 "
450014,"ANDERSON, CITY OF","$16,249 ",0,15,36,"$6,014,600 ",7,"$36,073 "
450015,"BELTON, CITY OF",$964 ,0,0,2,"$400,000 ",0,$0 
450238,"CLEMSON, CITY OF","$22,510 ",0,16,42,"$9,224,500 ",10,"$67,166 "
450019,"PENDLETON, TOWN OF","$2,212 ",0,1,5,"$1,078,000 ",0,$0 
450020,"WILLIAMSTON, TOWN OF",$797 ,0,0,2,"$490,000 ",0,$0 
450203,BAMBERG COUNTY*,"$21,607 ",0,14,22,"$3,702,100 ",4,"$67,886 "
450259,"BAMBERG, CITY OF","$1,863 ",0,0,6,"$1,155,000 ",8,"$39,145 "
450021,"DENMARK, CITY OF","$1,912 ",0,1,3,"$730,000 ",2,"$100,173 "
450204,BARNWELL COUNTY *,"$2,163 ",0,1,4,"$890,000 ",1,"$12,303 "
450023,"BARNWELL, CITY OF","$1,751 ",0,0,5,"$1,120,000 ",1,$0 
450024,"BLACKVILLE, TOWN OF",$317 ,0,0,1,"$210,000 ",1,"$2,868 "
