Station,New Record,New Record Date,Old Record,Old Record Date,Period of Record,LAT,LONG
SUMTER,10.67,10/04/15,8.21,10/11/90,1901-2015,33.94,-80.36
ANDREWS,8.8,10/04/15,7.6,10/07/05,1962-2015,33.44,-79.57
SALUDA,7.74,10/04/15,7.15,10/01/29,1902-2015,34.00,-81.77
CHARLESTON CITY,9.25,10/03/15,6.79,10/18/65,1893-2015,32.78,-79.93
BROOKGREEN GARDENS,9.85,10/05/15,6.62,10/18/68,1957-2015,33.52,-79.10
CHARLESTON INTL AP,11.5,10/03/15,6.57,10/24/08,1938-2015,32.90,-80.04
LITTLE MTN,7.35,10/04/15,6.55,10/01/29,1893-2015,34.19,-81.42
SUMMERVILLE 4W,9.2,10/04/15,5.52,10/24/08,1898-2015,33.04,-80.23
DARLINGTON,6.94,10/03/15,5.15,10/15/54,1896-2015,34.30,-79.88
CLEMSON UNIV,5.28,10/02/15,4.93,10/01/65,1930-2015,34.66,-82.82
MONCKS CORNER 4 N,9.4,10/04/15,4.1,10/25/08,1948-2015,33.24,-79.99
COLUMBIA METRO AP,6.87,10/04/15,4.09,10/15/64,1948-2015,33.94,-81.12
WALTERBORO 1 SW,4.23,10/04/15,3.97,10/20/44,1903-2015,32.88,-80.68
BATESBURG,5.1,10/04/15,3.95,10/11/90,1894-2015,33.90,-81.54
ANTREVILLE,6.1,10/04/15,3.8,10/29/70,1952-2015,34.29,-82.53
MANNING,8.55,10/04/15,2.8,10/29/03,1948-2015,33.70,-80.20
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
